"filename", "language", "JavaScript", "HTML", "Markdown", "JavaScript JSX", "XML", "SCSS", "JSON", "CSS", "comment", "blank", "total"
"c:\Users\Igor\Downloads\Randolympics\public\myaccount\save.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Igor\Downloads\Randolympics\public\myaccount\settings.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\Igor\Downloads\Randolympics\public\myaccount\settings1.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\Igor\Downloads\Randolympics\public\myaccount\settings_dark.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\Igor\Downloads\Randolympics\public\myaccount\team.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\Igor\Downloads\Randolympics\public\myaccount\team_dark.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\Igor\Downloads\Randolympics\public\myaccount\trash.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Igor\Downloads\Randolympics\public\myaccount\triangle-exclamation.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Igor\Downloads\Randolympics\public\myaccount\unvalidated.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\Igor\Downloads\Randolympics\public\myaccount\upload.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\Igor\Downloads\Randolympics\public\myaccount\user.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\Igor\Downloads\Randolympics\public\myaccount\user_old.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Igor\Downloads\Randolympics\public\myaccount\validated.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\Igor\Downloads\Randolympics\public\myaccount\vote.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\Igor\Downloads\Randolympics\public\news\arrow_down.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Igor\Downloads\Randolympics\public\news\arrow_right.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\Igor\Downloads\Randolympics\public\news\mdi_dot.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\Igor\Downloads\Randolympics\public\randolympics_logo.svg", "XML", 0, 0, 0, 0, 26, 0, 0, 0, 0, 1, 27
"c:\Users\Igor\Downloads\Randolympics\public\randomize\acrobatics.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\randomize\archery.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\randomize\athletics.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\randomize\badminton.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\randomize\basketball.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\randomize\boxing.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\randomize\cycling.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\randomize\diving.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\randomize\fencing.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\randomize\golf.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\randomize\gun.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Igor\Downloads\Randolympics\public\randomize\handball.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\randomize\high_jump.svg", "XML", 0, 0, 0, 0, 31, 0, 0, 0, 0, 2, 33
"c:\Users\Igor\Downloads\Randolympics\public\randomize\hockey.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\randomize\horse.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Igor\Downloads\Randolympics\public\randomize\hourglass.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Igor\Downloads\Randolympics\public\randomize\judo.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\randomize\jumping_hurdles.svg", "XML", 0, 0, 0, 0, 28, 0, 0, 0, 0, 2, 30
"c:\Users\Igor\Downloads\Randolympics\public\randomize\kayaking.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\randomize\long_jump.svg", "XML", 0, 0, 0, 0, 33, 0, 0, 0, 0, 2, 35
"c:\Users\Igor\Downloads\Randolympics\public\randomize\olympic_flame.svg", "XML", 0, 0, 0, 0, 21, 0, 0, 0, 0, 2, 23
"c:\Users\Igor\Downloads\Randolympics\public\randomize\ping_pong.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\randomize\rugby.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\randomize\running.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\randomize\shooting.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\randomize\shot_put.svg", "XML", 0, 0, 0, 0, 29, 0, 0, 0, 0, 2, 31
"c:\Users\Igor\Downloads\Randolympics\public\randomize\soccer.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\randomize\surfing.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\randomize\swim.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Igor\Downloads\Randolympics\public\randomize\taekwondo.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\randomize\tennis.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\randomize\triathlon.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\randomize\volleyball.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\randomize\walk_race.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Igor\Downloads\Randolympics\public\randomize\waterpolo.svg", "XML", 0, 0, 0, 0, 38, 0, 0, 0, 0, 2, 40
"c:\Users\Igor\Downloads\Randolympics\public\randomize\weightlifting.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\randomize\wrestling.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\randomizer\dice.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\Igor\Downloads\Randolympics\public\randomizer\dice_hover.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\Igor\Downloads\Randolympics\public\randomizer\female.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\Igor\Downloads\Randolympics\public\randomizer\female_selected.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\Igor\Downloads\Randolympics\public\randomizer\heavy.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\Igor\Downloads\Randolympics\public\randomizer\heavy_selected.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
